"release_speed","balls","strikes","pfx_x","pfx_z","plate_x","plate_z","release_spin_rate","class"
87.2,1,1,-1.37,0.62,-0.97,3.38,1746,"Weak/Miss"
82.4,0,1,0.58,-1.25,1.57,0.47,2534,"Take"
81.9,0,0,0.6,-1.13,0.12,1.91,2408,"Take"
86.3,1,0,-1.48,0.77,-0.85,3.01,1668,"Weak/Miss"
92.4,0,0,-0.7,1.64,-0.68,4.6,2301,"Take"
77.8,2,1,-0.87,-0.29,-0.04,2.71,2370,"Strong"
91.7,1,1,1.71,0.48,-0.03,0.89,2218,"Take"
90.4,0,1,0.74,1.65,-1.22,4.21,2201,"Take"
78.9,0,0,-0.8,-0.08,0,1.75,2303,"Take"
75.3,0,1,-1.31,-0.17,-1.66,2.76,2725,"Weak/Miss"
82.5,1,2,0.34,-1.4,0.14,1.95,2295,"Weak/Miss"
83,0,2,0.9,-1.3,1.49,0.37,2512,"Take"
74.3,0,0,-1.54,-0.18,0.32,1.6,2702,"Take"
82.9,0,1,0.57,-1.25,1.02,0.28,2454,"Weak/Miss"
81.9,0,0,0.64,-1.44,0.93,0.93,2527,"Weak/Miss"
86.1,3,2,-1.15,0.64,-0.57,2.22,1481,"Strong"
78.9,2,2,1.02,-1.01,-1.68,3.45,2037,"Take"
85.2,1,2,-1.07,0.65,-2.27,2.05,1462,"Take"
93.6,1,1,-0.76,1.52,0.36,3.26,1971,"Weak/Miss"
94.3,0,1,-0.87,1.35,-1.62,3.5,1925,"Take"
76.1,0,0,1.06,-1,1.23,1.63,1998,"Strong"
87.1,3,1,-1.18,1.02,-0.43,1.9,1649,"Strong"
85.5,2,1,-1.02,0.8,-2.1,2.57,1601,"Take"
79.8,1,1,0.69,-0.96,1.67,0.35,2116,"Take"
86.6,1,0,-0.99,0.76,0.25,2.42,1475,"Weak/Miss"
87,0,0,-0.94,0.88,-1.52,3.76,1455,"Take"
93.5,3,2,0.91,1.33,0.31,2.54,2419,"Strong"
93.2,2,2,1.05,1.47,-1.06,1.42,2510,"Take"
80.5,1,1,-1.77,0.13,-1.36,1.44,2582,"Take"
82.2,0,1,-1.78,-0.15,-1.47,1.22,2689,"Take"
92.8,0,0,0.98,1.42,-0.14,2.51,2361,"Weak/Miss"
79.3,2,0,-1.24,1.4,-0.89,1.09,2090,"Weak/Miss"
89.6,1,0,-1.16,1.54,-0.15,1.33,2411,"Take"
79,0,0,-1.29,1.54,-1.09,0.78,2035,"Take"
94.3,3,2,-0.95,1.29,-0.98,2.36,2187,"Weak/Miss"
93.6,3,1,-0.58,1.74,-0.32,2.84,2178,"Weak/Miss"
85.5,2,1,-0.72,1.17,1.69,1.49,1574,"Take"
86.3,1,1,-1.19,0.55,-0.64,1.37,1534,"Take"
86.4,1,0,-0.82,1,0.47,2.36,1548,"Take"
93.2,0,0,-1.03,1.21,-1.33,2.31,2081,"Take"
93.1,0,1,-0.71,1.39,-0.34,2.33,2361,"Strong"
94.2,0,0,-0.72,1.34,-0.55,2.5,2302,"Strong"
89.1,0,1,-1.18,1.05,0.53,0.16,1864,"Take"
92.6,0,0,-1.3,1.08,0.23,2.88,2266,"Weak/Miss"
82.3,1,2,0.4,-0.43,0.91,0.73,2578,"Weak/Miss"
79.4,1,0,0.62,-0.49,-0.75,3.17,2310,"Take"
91,1,2,-0.69,1.01,0.15,3.81,2072,"Strong"
80.6,0,0,0.38,-0.51,0.04,3.63,2484,"Take"
80.3,1,1,0.24,-0.35,-0.54,1.52,2133,"Weak/Miss"
79.1,0,0,0.33,-0.42,-1.17,2.59,2062,"Take"
84.4,1,0,-1.57,-0.38,-1.21,0.95,2204,"Weak/Miss"
74.5,0,0,0.48,0.27,-2.03,1.57,2117,"Take"
96.1,0,2,-0.83,1.62,0.72,3.26,2588,"Weak/Miss"
79.7,0,1,0.51,-1.14,0.75,0.68,2838,"Weak/Miss"
95.6,0,0,-0.77,1.8,0.78,2.81,2522,"Weak/Miss"
94.3,1,0,-0.79,1.76,-0.29,2.76,2568,"Strong"
93.4,0,0,-0.69,1.57,-0.05,3.93,2506,"Take"
94.5,0,1,-0.8,1.92,0.08,3.18,2568,"Weak/Miss"
93.9,0,0,-0.67,1.97,0.04,3.53,2557,"Weak/Miss"
96.9,0,0,-0.64,1.42,-0.36,2.92,2389,"Strong"
93.3,2,2,-0.78,1.36,-0.57,3.47,2246,"Weak/Miss"
92.4,1,2,-0.95,1.33,-1.89,3.82,2286,"Take"
92.7,1,1,-1.14,1.05,0.22,2.27,2275,"Weak/Miss"
91.4,0,1,-0.81,1.29,-1.21,3.98,2373,"Take"
78,0,0,0.7,-0.93,-0.25,1.94,2437,"Strong"
93.3,3,2,-0.98,1.37,-0.35,2.08,2256,"Strong"
93.2,3,1,-1.03,1.32,-0.58,1.99,2279,"Weak/Miss"
92.3,2,1,-1.5,0.89,0.27,1.49,2199,"Take"
79.5,1,1,1.07,-1.05,-0.21,0.48,2703,"Take"
92.8,1,0,-0.98,1.21,-0.24,2.02,2337,"Take"
76.4,0,0,0.92,-1.09,-1.02,2.23,2480,"Take"
96.1,0,0,-0.22,1.63,-0.05,2.22,2508,"Strong"
90,0,1,1.51,0.25,0.25,1.96,2160,"Weak/Miss"
77.6,0,0,-0.19,-0.32,0.64,3,2274,"Weak/Miss"
88.7,3,2,-0.99,0.54,-0.06,3.36,2158,"Strong"
87.3,3,0,-1.12,0.52,-0.44,2.78,2046,"Take"
83.6,2,0,-0.12,0.47,-0.99,2.79,2029,"Take"
87.2,1,0,-1.01,0.65,-0.32,4.27,1999,"Take"
81.4,0,0,0.21,0.3,-1.42,3.21,1883,"Take"
93.3,2,2,-1.29,1.18,-0.49,1.46,2351,"Weak/Miss"
80.6,0,1,-0.16,-0.49,0.33,2.28,2317,"Strong"
88.2,1,2,-1.3,0.26,-1.8,1.54,1758,"Take"
91.3,0,0,1.33,-0.2,-0.68,2.29,2081,"Take"
93.4,1,1,-1.09,1.4,-0.47,2.52,2384,"Weak/Miss"
92.4,1,0,-0.98,1.23,0.41,1.85,2189,"Weak/Miss"
87.7,0,0,-1.19,0.14,-1.05,1.19,1670,"Take"
88.3,2,2,-1.41,0.05,-1.29,2.25,1706,"Strong"
93.3,2,1,-1.63,0.67,-0.96,2.35,2308,"Strong"
94.2,2,0,-1.47,1.07,0.38,1.7,2296,"Take"
86.8,1,0,-1.35,0.91,-1.7,2.6,1580,"Take"
88.6,0,0,-1.35,0.9,0.65,1.41,1636,"Take"
80.4,1,2,1.34,-1.25,0.92,1.08,3030,"Strong"
88.9,0,1,-1.74,0.51,-2.16,2.78,1925,"Take"
94.8,0,0,-1.6,0.89,-0.58,2.63,2359,"Weak/Miss"
98.9,2,2,-0.88,1.43,0.41,3.38,2390,"Weak/Miss"
78.3,0,2,1.42,-1.2,0.34,0.86,2911,"Weak/Miss"
94.1,0,1,-1.17,0.98,-0.81,3.09,2179,"Take"
86.6,1,2,-0.17,0.25,0.37,0.14,2221,"Take"
88.3,0,0,-1.59,0.32,-1.01,3.06,1661,"Weak/Miss"
86.3,1,1,-0.1,0.21,0.53,0.89,2157,"Weak/Miss"
97.1,1,0,-0.84,1.5,0.3,2.54,2258,"Strong"
98.5,0,0,-1.19,1.28,0.71,1.11,2515,"Take"
95.6,0,0,-1.15,0.93,-0.49,1.65,2074,"Strong"
94.2,1,1,-0.43,1.35,-0.55,2,2194,"Strong"
85.6,0,1,-1.36,0.73,0.55,0.53,1987,"Take"
84,0,0,0.14,-0.36,-0.09,0.78,2295,"Weak/Miss"
86.1,3,2,1.02,-0.3,0.01,0.57,3148,"Take"
92.3,2,2,-0.06,0.65,-0.67,0.67,3115,"Take"
92.7,1,0,-1.28,0.48,-0.33,1.21,2601,"Take"
92.6,0,0,-1.22,0.62,-0.97,0.91,2676,"Take"
92.9,3,0,-1.38,0.27,-0.51,2.42,2437,"Weak/Miss"
92.9,2,0,-1.44,0.47,-1.39,2.89,2380,"Take"
93,1,0,-1.35,0.71,-1.1,2.58,2351,"Take"
91,0,0,-1.81,0.52,-2.17,2.16,2459,"Take"
91,0,0,-0.04,0.67,0.22,3.09,2544,"Strong"
78.4,0,0,0.62,-1.38,0.52,1.56,2797,"Strong"
85.6,0,0,0.18,0.14,0.68,1.26,2313,"Strong"
85.2,2,2,0.26,-0.13,-0.42,2.1,2341,"Strong"
90.8,2,2,0.15,0.65,0.11,3.39,2307,"Weak/Miss"
93,1,2,-0.74,0.68,-1.18,4.88,2288,"Take"
92.9,1,2,-0.08,0.63,0.1,3.6,2535,"Weak/Miss"
85.2,1,1,0.16,0.28,1,0.52,2290,"Weak/Miss"
84.4,0,1,-1.6,1.06,-2.01,2.54,2332,"Take"
76.7,0,0,0.68,-0.68,-0.62,3.02,2593,"Weak/Miss"
83.8,1,0,0.02,0.21,-0.1,2.46,2044,"Strong"
93.7,0,0,-1.19,1.12,-1.56,2.99,2267,"Take"
92.2,1,1,0.28,1.11,1.15,3.18,2427,"Weak/Miss"
89.5,1,0,0.21,1.08,0.37,3.12,2340,"Weak/Miss"
94.9,0,0,-1.27,1.24,-0.2,1.66,2111,"Take"
94.5,1,1,-0.84,1.3,0.38,2.79,2325,"Strong"
95.4,0,1,-0.72,1.37,1.02,1.2,2357,"Take"
91.6,0,0,0.92,1.36,1.37,2.32,2195,"Strong"
87.7,2,0,-0.26,0.7,-0.71,1.15,2201,"Weak/Miss"
87.7,1,0,0.07,0.48,-0.72,0.76,2311,"Take"
91,0,0,0.98,1.38,1.15,1.85,2080,"Take"
97.7,1,2,-0.63,1.27,-0.01,2.68,2222,"Strong"
80,0,2,-1.06,-1.35,-2.07,1.25,2946,"Weak/Miss"
93,0,1,1.28,0.3,0.39,1.61,2193,"Weak/Miss"
86.3,1,1,0.97,-0.19,-0.81,2.8,2500,"Take"
91.5,0,0,1.34,0.38,1.22,2.2,1947,"Weak/Miss"
97.2,1,0,-0.69,1.26,-0.73,2.77,2193,"Take"
96.9,0,0,-0.55,1.23,-0.24,3.99,2159,"Take"
86.3,1,1,-1.19,0.29,-0.77,2.74,1902,"Strong"
93.9,0,1,-0.2,1.38,0.73,3.98,2326,"Take"
82.5,0,0,0.75,-0.49,-0.19,2.22,2635,"Weak/Miss"
94.5,3,1,-0.29,1.48,0.45,2.92,2412,"Strong"
95.2,2,1,-0.23,1.21,0.21,3.8,2400,"Take"
96.3,1,1,-0.19,1.18,1.41,1.5,2532,"Take"
95.5,1,0,-0.13,1.44,-0.01,2.61,2376,"Strong"
87.7,0,0,-1.25,0.14,-1.71,2.88,1964,"Take"
99.5,3,2,-0.53,1.42,0.87,2.02,2381,"Weak/Miss"
99.7,2,2,-0.55,1.35,-1.32,2.07,2390,"Take"
98.8,2,2,-0.3,1.36,0.61,2.9,2474,"Strong"
97.8,2,1,-0.58,1.13,-0.19,1.61,2422,"Take"
84,1,1,1.26,-0.54,0.05,1.16,2609,"Take"
97.9,0,1,-0.15,0.97,0.16,3.7,2386,"Take"
91.5,2,2,0.56,0.87,-0.64,2.58,2514,"Weak/Miss"
92,1,2,0.56,0.94,-0.92,3.65,2495,"Take"
82.4,0,2,0.93,-1.36,0.11,-1.66,2866,"Take"
82.4,0,1,1.1,-0.97,-0.03,-0.04,2566,"Weak/Miss"
91.2,0,0,0.39,1.02,-0.07,2.12,2594,"Take"
98.7,3,2,-0.96,1.52,-0.83,3.17,2657,"Weak/Miss"
98.8,3,2,-1.02,1.61,0.15,2.53,2648,"Strong"
82.8,2,2,1.28,-1.28,-1.22,4.83,3129,"Take"
91.1,1,2,0.44,0.21,1.69,-0.16,2774,"Take"
98.3,1,1,-0.88,1.55,0.41,2.67,2680,"Weak/Miss"
82.6,1,0,1.32,-1.16,-0.69,2.94,3039,"Take"
81.9,0,0,1.19,-1.1,-0.99,4.23,2968,"Take"
89,1,2,-1.29,0.89,-0.94,2.04,1761,"Strong"
82.5,1,1,0.98,-1.21,-0.8,2.27,2916,"Take"
96.1,0,1,-0.89,1.58,-2.56,4.89,2533,"Take"
95.2,0,0,-0.9,1.49,-0.28,2.45,2485,"Strong"
95.4,1,2,-0.54,1.13,-0.98,3.98,2092,"Take"
95.5,1,1,-0.54,1.31,0.02,1.63,2022,"Strong"
83.7,2,2,0.97,-1.1,-0.47,0.99,3377,"Weak/Miss"
96.3,0,0,-0.6,1.19,-0.07,0.33,2067,"Take"
83.7,2,1,1.21,-0.85,0.31,1.27,3272,"Weak/Miss"
95.3,1,1,-0.02,1.17,-1.33,2.61,2587,"Take"
98.2,0,1,-0.1,1.3,-1.13,3.32,2640,"Take"
82.9,0,0,1.7,-1.05,0.18,1.91,3328,"Take"
93.4,0,1,-1.14,0.77,-0.31,3.09,2144,"Weak/Miss"
94.3,0,0,-0.92,1.37,0.09,2.73,2259,"Weak/Miss"
95,3,0,-0.9,1.27,-0.08,1.68,2245,"Weak/Miss"
88.5,2,0,-1.44,0.8,-1.32,2.53,2139,"Take"
88.5,1,0,-1.54,0.89,0.9,0.26,2139,"Take"
93,0,0,-1.42,1.01,0.1,0.42,2192,"Take"
84.9,0,2,0.51,-0.25,0.25,0.29,2631,"Weak/Miss"
88.5,0,1,-1.39,0.87,-1.19,2.58,2013,"Strong"
94.8,0,0,-1.37,0.62,0.31,1.75,2153,"Take"
85.9,1,0,-1.27,0.64,-0.59,2.99,2101,"Strong"
92.9,0,0,-0.38,1.32,-1.59,2,2304,"Take"
86.2,1,2,-0.37,0.63,0.29,3.64,2364,"Strong"
89.7,0,2,0.57,1.58,-1.29,1.96,2345,"Take"
91,0,1,0.48,1.61,-1.01,2.6,2452,"Weak/Miss"
90.8,0,0,0.63,1.24,-0.54,2.72,2401,"Weak/Miss"
85.2,0,0,-0.43,0.6,-1.13,3.09,2274,"Strong"
82.8,1,2,-0.28,-0.11,0.5,1.49,2359,"Strong"
86.3,1,1,-0.07,0.86,-0.23,2.13,2379,"Weak/Miss"
86,1,0,-0.49,0.36,-0.64,1.37,2155,"Weak/Miss"
85.2,0,0,-0.51,0.44,0.42,3.81,2267,"Take"
94.2,3,2,-0.46,1.43,-0.49,1.61,2167,"Weak/Miss"
86.4,2,2,0.58,0.02,-0.71,0.89,2405,"Take"
95.1,1,2,-0.45,1.26,-1.76,1.96,2259,"Take"
93.8,1,1,-0.34,1.42,-0.78,1.84,2290,"Take"
93.8,1,0,-0.52,1.46,-0.76,2.89,2242,"Take"
93.9,0,0,-0.49,1.46,-0.25,1.15,2286,"Take"
85.1,1,2,-0.54,0.46,0.41,1.38,2205,"Weak/Miss"
90,1,1,0.11,1.23,-0.6,2.22,2203,"Weak/Miss"
82.2,1,0,-0.8,0.35,-0.81,2.02,2301,"Weak/Miss"
83.7,0,0,-0.68,0.31,-1.4,1.73,2408,"Take"
84.6,2,2,0.07,0.81,0.66,3.47,2059,"Weak/Miss"
87.9,2,2,1.08,1.23,-0.18,2.73,2206,"Weak/Miss"
80.5,1,2,1.47,0.71,-1.17,2.38,2283,"Take"
87.6,1,1,0.88,1.4,-0.87,2.76,2124,"Take"
84,0,1,-0.03,1.03,-0.58,4.71,2097,"Take"
88.2,0,0,0.7,1.37,-0.07,2.95,2134,"Take"
82.2,3,2,1.47,0.78,-0.01,1.47,2323,"Strong"
88.8,3,1,1.13,1.35,0.58,2.49,2369,"Strong"
88.3,3,0,0.61,1.72,-0.82,3.35,2287,"Weak/Miss"
86.6,2,0,0.54,0.99,-1.36,1.12,2333,"Take"
89,1,0,0.77,1.7,-1.58,1.06,2325,"Take"
84.8,0,0,0.31,1.13,-0.95,2.61,2387,"Take"
90.1,0,0,0.2,0.41,0.28,2.1,2238,"Weak/Miss"
90.4,0,1,0.35,0.45,0.62,1.77,2644,"Weak/Miss"
88.1,0,0,0.39,0.44,0.59,2.69,2550,"Take"
83.7,1,2,0.63,-0.17,-0.02,1.24,2750,"Strong"
83.7,1,1,0.69,0.45,0.2,1.93,2619,"Weak/Miss"
82.9,1,0,0.82,0.44,0.14,2.44,2580,"Weak/Miss"
95.3,0,0,-1.23,1.22,0.26,1.66,2357,"Take"
86.7,0,1,-0.94,0,0.31,1.7,1868,"Strong"
88.1,3,2,1.74,0.42,-0.44,0.59,2168,"Take"
95.5,3,2,0.4,1.75,0.63,3.09,2537,"Weak/Miss"
95.5,3,2,0.64,1.72,-0.59,2.83,2534,"Strong"
88.2,2,2,1.58,0.52,1.18,1.5,2157,"Take"
88.3,2,1,1.34,1.03,0.4,1.63,2192,"Weak/Miss"
94.7,2,0,0.43,1.39,-0.59,3.4,2559,"Take"
95,1,0,0.55,1.66,-0.34,3.82,2584,"Take"
95.4,0,0,0.76,1.3,-0.43,1.82,2515,"Take"
91.2,0,1,-0.66,1.4,-0.66,2.33,2138,"Weak/Miss"
78.7,0,0,1.03,-1.17,-0.27,1.46,2535,"Weak/Miss"
92.5,2,2,-1.94,-0.01,-0.72,1.03,2353,"Strong"
91.3,1,2,-1.17,0.58,-1.87,3.06,2302,"Take"
91.4,1,2,-1.76,0.04,0.22,1.99,2371,"Weak/Miss"
86,0,2,-0.24,0.62,-2.34,2.54,2640,"Take"
91.7,0,0,-1.69,0.58,-0.59,2.27,2447,"Take"
95,0,0,-1.69,0.37,-0.65,3.23,2112,"Strong"
84.5,1,2,-0.74,1.19,-0.19,2.31,1567,"Strong"
82.2,1,2,0.25,0.19,-0.71,3.22,2268,"Weak/Miss"
83.5,0,2,-0.94,0.97,-1.91,3.41,1460,"Take"
82.5,0,1,0.41,0.05,0.4,0.62,2244,"Weak/Miss"
83.5,0,0,-0.75,1.11,0.29,1.78,1533,"Take"
83.4,0,0,-1.29,0.63,-0.25,1.9,1724,"Strong"
94,0,0,-0.58,1.66,0.84,1.5,2296,"Strong"
83.5,1,0,-1.11,-0.14,-0.69,2.56,2709,"Strong"
86.8,0,0,-0.13,0.35,-1.42,0.29,2565,"Take"
92.7,0,0,-0.86,1.54,0.69,2.4,2308,"Strong"
93.5,3,1,-0.47,1.39,0.4,1.85,2262,"Strong"
83.9,2,1,-1.03,0.85,-1.8,2.68,1537,"Take"
93.6,1,1,-0.51,1.45,-0.77,1.34,2240,"Take"
93,0,0,-0.6,1.59,-0.56,3.68,2173,"Take"
82.2,1,1,-1.14,0.61,-0.89,1.95,1542,"Strong"
93.9,0,1,-0.5,1.58,0.06,4.5,2206,"Take"
93.4,0,0,-0.56,1.48,0.2,2.54,2209,"Weak/Miss"
91.5,2,2,-0.48,1.49,0.28,2.72,2569,"Strong"
85.4,2,2,0.81,0.68,-0.12,2.89,2682,"Weak/Miss"
90.1,1,2,-0.64,1.46,-1.59,2.58,2443,"Take"
78.3,0,2,1,-1.43,0.03,1.13,2353,"Weak/Miss"
91.6,1,0,-0.79,1.37,-0.61,2.91,2674,"Weak/Miss"
83,0,2,-0.93,1.17,-1.04,1.99,1666,"Strong"
93.5,0,2,-1.04,1.53,0.55,3.42,2214,"Weak/Miss"
80.3,0,1,1.47,-0.65,-0.17,2.44,2476,"Weak/Miss"
92.1,0,0,-0.66,1.67,0.72,2.23,2223,"Take"
95.1,1,0,-0.85,1.09,0.51,2.23,2391,"Strong"
83.7,0,0,-0.95,-0.48,-1.79,1.29,2107,"Take"
90.7,2,1,-0.21,1.38,0.23,2.65,2168,"Strong"
91.1,1,1,-0.3,1.33,0.6,1.23,2125,"Take"
83.6,0,1,-1.22,0.89,-1.17,1.25,1614,"Take"
77.3,0,0,0.56,-0.16,-0.15,1.45,2301,"Weak/Miss"
79.3,0,0,0.47,-0.2,0.4,1.1,2348,"Strong"
92.1,3,0,-0.34,1.55,-1.37,3.31,2143,"Take"
90.9,2,0,0,1.57,1.39,3.54,2112,"Take"
73.6,1,0,0.9,-0.81,-1.76,2.33,2291,"Take"
97,2,2,-0.61,1.5,-1.02,3.12,2255,"Take"
91.2,0,0,-0.16,1.4,-0.72,3.45,2068,"Take"
96.4,1,1,-0.63,1.5,0.13,4.22,2224,"Take"
87.9,0,1,0.38,0.46,1.39,2.7,2240,"Take"
91.4,0,2,0.7,1.51,-0.51,3.16,2378,"Weak/Miss"
91.8,0,1,0.68,1.56,-0.91,2.67,2371,"Take"
82.9,3,2,0.69,1.66,-0.45,1.85,2502,"Strong"
93.7,2,2,0.58,1.72,-1.81,1.94,2485,"Take"
92.3,2,1,0.53,1.7,-0.32,3.44,2488,"Weak/Miss"
91.6,1,1,0.54,1.66,-0.03,3.85,2502,"Take"
92.1,0,0,0.79,1.65,-1.33,2.12,2426,"Take"
83,0,1,-0.41,0.46,-1.64,2.04,2458,"Weak/Miss"
92.2,0,0,0.78,1.81,-0.75,2.03,2491,"Take"
86.5,1,2,-0.54,0.36,-0.43,2.52,1369,"Strong"
91.9,0,2,0.49,0.52,-0.16,3.58,2246,"Take"
86.5,0,1,-0.71,0.73,0.24,0.64,1315,"Weak/Miss"
94.3,0,0,-0.89,1.14,0.01,3.23,2053,"Take"
89.3,2,2,-0.83,0.42,0.77,1.8,1471,"Strong"
94.1,1,2,-0.78,0.88,-0.57,4.1,2314,"Take"
92.4,1,0,0.11,0.89,-0.39,2.17,2244,"Strong"
85,1,1,0.07,0.3,0.24,1.38,2340,"Weak/Miss"
93.5,0,0,-0.99,1.03,1.37,2.39,2017,"Take"
88.3,1,0,-0.78,0.29,-0.9,2.94,1705,"Take"
94.6,0,0,-0.95,1.14,0.6,1.23,2590,"Take"
93.4,2,1,-0.05,1.01,0.07,2.59,2303,"Strong"
96.6,1,1,-0.74,1.12,-0.74,3.55,2277,"Take"
92.7,1,0,0.08,0.97,0.87,3.29,2254,"Weak/Miss"
95.1,1,0,0.99,0.27,0.5,2.47,2073,"Weak/Miss"
96.4,0,0,-0.8,1.14,-1.74,3.7,2219,"Take"
93.9,0,0,0.92,0.22,-0.36,4.21,2161,"Take"
78.7,0,1,-1.47,-0.62,0.06,1.73,2704,"Strong"
86.6,0,0,-0.4,0.12,0.59,1.83,2312,"Weak/Miss"
94.8,0,2,0.49,0.95,0.22,2.86,2322,"Strong"
94,0,2,-0.33,1.57,-0.06,4.06,2278,"Weak/Miss"
90,0,1,-0.54,0.62,0.45,2.62,2235,"Weak/Miss"
95.6,0,2,-0.45,1.42,1.08,3.09,2295,"Weak/Miss"
88.7,0,0,-0.25,0.53,0.74,3.38,2247,"Take"
89.3,0,2,0.43,0.57,0.44,2.04,2303,"Weak/Miss"
94.9,0,1,-0.43,1.53,0.59,2.02,2274,"Take"
87.5,1,2,-1.13,1,-0.17,1.52,1525,"Strong"
86.5,1,2,0.52,-0.12,-0.15,2.61,2677,"Strong"
83.5,0,2,0.54,-0.49,0.13,0.3,2846,"Take"
91.9,0,1,-0.53,1.43,0,1.55,2341,"Take"
91.4,0,1,1.41,0.44,1.15,2.4,1811,"Weak/Miss"
86.5,0,0,-1.11,1.07,-0.89,1.76,1895,"Take"
92,0,0,0.83,1.08,-0.72,2.52,1927,"Weak/Miss"
89.4,3,2,-1,0.88,0.1,1.11,1828,"Take"
95.8,2,2,-0.49,1.1,1.08,3.2,2180,"Take"
88.5,2,2,-1.39,0.69,-1.14,2.35,1721,"Weak/Miss"
96.5,1,2,-1.04,1.23,-1.05,4.57,2278,"Take"
89.8,1,1,-1.32,1.19,-0.36,1.56,1833,"Weak/Miss"
96.3,1,0,-1.19,1.15,-0.5,2.58,2295,"Weak/Miss"
89.3,0,0,-1.2,1.13,1.18,0.94,1771,"Take"
81.7,1,2,0.25,0.11,0.12,1.92,1947,"Strong"
81.7,1,1,-0.9,0.93,-1.13,2.61,1357,"Take"
82.1,1,0,-0.99,0.71,-0.73,1.68,1356,"Weak/Miss"
79.6,0,0,-0.82,0.78,-1.75,2.79,1350,"Take"
96.6,0,2,-0.94,1.36,0.51,3.04,2181,"Strong"
95.6,0,1,-0.93,1.41,-0.56,2.51,2215,"Weak/Miss"
82.7,0,0,-1.17,1.07,-0.33,2.26,1603,"Take"
94.1,0,0,-0.98,1.34,-0.29,2.76,2103,"Strong"
87,1,1,-0.14,0.56,-1.03,1.57,2149,"Weak/Miss"
85.9,1,0,-0.28,0.57,-0.87,1.28,2096,"Weak/Miss"
87.8,0,0,0.01,0.76,1.32,2.61,2172,"Take"
93.8,1,2,-0.82,1.71,-0.15,2.96,2274,"Weak/Miss"
81.5,1,0,-1.16,1.34,-1.3,1.75,1666,"Weak/Miss"
91.8,0,0,-0.82,1.55,-0.77,4.35,2236,"Take"
81.3,2,1,-1.18,0.85,-0.54,1.47,1670,"Strong"
86.5,1,1,-0.46,0.75,-1.16,1.33,1950,"Take"
92.4,0,0,-0.64,1.6,0.76,3.61,2296,"Take"
83.4,2,2,-1.2,0.94,-0.71,2.01,1692,"Strong"
94.4,1,2,-0.51,1.51,0.21,4.67,2232,"Take"
95.6,1,2,-0.53,1.7,0.52,3.28,2328,"Weak/Miss"
93.9,1,1,-0.53,1.59,1.09,2.06,2278,"Weak/Miss"
94.6,1,0,-0.58,1.34,-0.49,3.28,2272,"Weak/Miss"
94,0,0,-0.63,1.41,0.43,0.8,2240,"Take"
86.6,0,1,-1.1,-0.01,-0.57,2.28,1353,"Strong"
86.9,0,0,-1.23,0.99,-0.82,2.82,1429,"Weak/Miss"
84.9,0,1,-1.2,0.82,-0.58,2.16,1900,"Weak/Miss"
74.2,0,0,0.89,-1.63,-0.26,2.95,2662,"Take"
89.3,0,0,-0.71,1.6,-0.01,2.96,2305,"Strong"
77,1,2,1.12,0,-0.25,1.85,2244,"Weak/Miss"
90.6,1,1,-0.63,1.42,0.17,1.64,2218,"Take"
84.9,2,0,-1.27,0.45,-1.03,2.37,1502,"Strong"
86.5,1,0,-1.19,0.44,1.84,0.74,1509,"Take"
81.8,1,0,-0.7,1.36,0.06,3.4,1918,"Weak/Miss"
89.7,0,0,-0.55,1.42,1.79,1.66,2301,"Take"
94.8,0,0,-0.53,1.25,-0.14,1.18,2270,"Take"
90.6,2,2,-0.98,1.17,0.38,3.5,1838,"Strong"
90.4,1,1,-1.85,0.85,-1.07,1.52,1784,"Take"
84.7,0,1,-1.5,-0.06,0.25,0.72,1710,"Take"
91.1,0,0,-1.78,0.87,-1.01,2.39,1764,"Weak/Miss"
90.2,0,1,-1.3,1.37,0.13,2.83,1942,"Strong"
76.9,0,0,0.22,-0.53,-0.68,2.61,2140,"Take"
84.9,0,0,-1.71,0.2,0.12,1.65,1635,"Strong"
77.9,2,2,-1.17,-0.51,-0.82,0.76,2055,"Weak/Miss"
92.8,1,2,0.95,1.53,-1.2,2.08,2287,"Take"
92,1,1,0.93,1.58,-0.47,2.75,2281,"Take"
76.7,0,1,-1.24,-0.47,-1.57,1.16,2186,"Take"
91,0,0,0.72,1.61,-0.3,3.08,2247,"Take"
84.6,0,1,-0.72,0,-0.04,2.21,1359,"Strong"
95.6,0,0,-1.45,0.95,-0.67,2.35,2243,"Take"
89.3,0,0,0.45,0.48,0.55,1.43,2398,"Weak/Miss"
90.2,0,2,-0.06,1.17,0.58,3.4,2402,"Strong"
91.2,0,1,-0.4,1.47,-0.24,1.73,2431,"Take"
90.7,0,0,-0.47,1.23,0.95,1.97,2445,"Weak/Miss"
95.6,2,0,-0.54,1.47,1.25,2.2,2267,"Strong"
86.1,1,0,-0.81,0.3,0.76,0.23,1696,"Take"
96.3,0,0,-1.28,0.78,0.94,2.01,2259,"Take"
93.5,3,1,-1.14,1.27,-0.04,0.44,1878,"Take"
92.8,2,1,-1.22,0.87,0.78,2.19,1876,"Take"
93.8,1,1,-1.58,0.93,0.48,1.63,1911,"Take"
93.4,0,1,-0.61,1.5,0.17,3.73,2163,"Take"
93,0,0,-1.2,1.15,0.1,2.82,1851,"Take"
95,0,2,0.46,0.89,0.37,2.25,2467,"Take"
96.5,0,1,-0.06,1.1,0.03,1.73,2114,"Take"
93.9,0,0,0.33,1.15,0.21,3.71,2227,"Weak/Miss"
